number,barcode,product_name,store_number,store_name,category1,category2,category3,category4,price1,price2,sale_num,ware_house_inventory,jd_inventory,total_inventory
1303010040061 ,6971555168603 ,ZEESEA滋色·恒效无瑕粉底液MW2,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,粉底液,29.7,79.9,0,100,110,210
1305050030001 ,6958136632821 ,VOV薇欧薇·琉光艺彩六色眼影E01#4.5G,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,29.5,59.9,0,6,0,6
1305050030001 ,6958136632821 ,VOV薇欧薇·琉光艺彩六色眼影E01#4.5G,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,2-8色,29.5,59.9,0,0,5,5
1305050030002 ,6958136632838 ,VOV薇欧薇·琉光艺彩六色眼影E02#4.5G,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,2-8色,29.5,59.9,0,0,8,8
1305050030002 ,6958136632838 ,VOV薇欧薇·琉光艺彩六色眼影E02#4.5G,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,29.5,59.9,0,4,6,10
1302010040105 ,6971555166326 ,ZEESEA滋色·琉璃水光唇釉S722 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,1,480,481
1302010040105 ,6971555166326 ,ZEESEA滋色·琉璃水光唇釉S722 5ml,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,0,60,60
1302010040106 ,6971555166333 ,ZEESEA滋色·琉璃水光唇釉S725 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,94,37,131
1302010040107 ,6971555166340 ,ZEESEA滋色·琉璃水光唇釉S726 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,125,71,196
1302010040108 ,6971555166357 ,ZEESEA滋色·琉璃水光唇釉S727 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,1,54,55
